 14:43:47 up  1:10,  1 user,  load average: 0,63, 0,87, 0,93
 14:43:48 up  1:10,  1 user,  load average: 0,58, 0,86, 0,92
 14:43:49 up  1:10,  1 user,  load average: 0,58, 0,86, 0,92
 14:43:50 up  1:10,  1 user,  load average: 0,58, 0,86, 0,92
 14:43:51 up  1:10,  1 user,  load average: 0,58, 0,86, 0,92
 14:43:52 up  1:10,  1 user,  load average: 0,58, 0,86, 0,92
 14:43:53 up  1:10,  1 user,  load average: 0,53, 0,84, 0,92
 14:43:54 up  1:10,  1 user,  load average: 0,53, 0,84, 0,92
 14:43:55 up  1:10,  1 user,  load average: 0,53, 0,84, 0,92
 14:43:56 up  1:10,  1 user,  load average: 0,53, 0,84, 0,92
 14:43:57 up  1:10,  1 user,  load average: 0,53, 0,84, 0,92
 14:43:58 up  1:10,  1 user,  load average: 0,57, 0,85, 0,92
 14:43:59 up  1:10,  1 user,  load average: 0,57, 0,85, 0,92
 14:44:00 up  1:10,  1 user,  load average: 0,57, 0,85, 0,92
 14:44:01 up  1:10,  1 user,  load average: 0,57, 0,85, 0,92
 14:44:02 up  1:10,  1 user,  load average: 0,57, 0,85, 0,92
 14:44:03 up  1:10,  1 user,  load average: 0,68, 0,87, 0,92
 14:44:04 up  1:10,  1 user,  load average: 0,68, 0,87, 0,92
 14:44:05 up  1:10,  1 user,  load average: 0,68, 0,87, 0,92
 14:44:06 up  1:10,  1 user,  load average: 0,68, 0,87, 0,92
 14:44:07 up  1:10,  1 user,  load average: 0,68, 0,87, 0,92
 14:44:08 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:09 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:10 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:11 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:12 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:13 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:14 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:15 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:16 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:17 up  1:10,  1 user,  load average: 0,95, 0,92, 0,94
 14:44:18 up  1:10,  1 user,  load average: 1,04, 0,94, 0,95
 14:44:19 up  1:10,  1 user,  load average: 1,04, 0,94, 0,95
 14:44:20 up  1:10,  1 user,  load average: 1,04, 0,94, 0,95
 14:44:21 up  1:10,  1 user,  load average: 1,04, 0,94, 0,95
 14:44:22 up  1:11,  1 user,  load average: 1,04, 0,94, 0,95
 14:44:23 up  1:11,  1 user,  load average: 1,12, 0,96, 0,95
 14:44:24 up  1:11,  1 user,  load average: 1,12, 0,96, 0,95
 14:44:25 up  1:11,  1 user,  load average: 1,12, 0,96, 0,95
 14:44:26 up  1:11,  1 user,  load average: 1,12, 0,96, 0,95
 14:44:27 up  1:11,  1 user,  load average: 1,12, 0,96, 0,95
 14:44:28 up  1:11,  1 user,  load average: 1,35, 1,01, 0,97
 14:44:29 up  1:11,  1 user,  load average: 1,35, 1,01, 0,97
 14:44:30 up  1:11,  1 user,  load average: 1,35, 1,01, 0,97
 14:44:31 up  1:11,  1 user,  load average: 1,35, 1,01, 0,97
 14:44:32 up  1:11,  1 user,  load average: 1,40, 1,02, 0,97
 14:44:33 up  1:11,  1 user,  load average: 1,40, 1,02, 0,97
 14:44:34 up  1:11,  1 user,  load average: 1,40, 1,02, 0,97
 14:44:35 up  1:11,  1 user,  load average: 1,40, 1,02, 0,97
 14:44:36 up  1:11,  1 user,  load average: 1,40, 1,02, 0,97
 14:44:37 up  1:11,  1 user,  load average: 1,53, 1,06, 0,98
 14:44:38 up  1:11,  1 user,  load average: 1,53, 1,06, 0,98
 14:44:39 up  1:11,  1 user,  load average: 1,53, 1,06, 0,98
 14:44:40 up  1:11,  1 user,  load average: 1,53, 1,06, 0,98
 14:44:41 up  1:11,  1 user,  load average: 1,53, 1,06, 0,98
 14:44:43 up  1:11,  1 user,  load average: 1,41, 1,04, 0,98
 14:44:44 up  1:11,  1 user,  load average: 1,41, 1,04, 0,98
 14:44:45 up  1:11,  1 user,  load average: 1,41, 1,04, 0,98
 14:44:46 up  1:11,  1 user,  load average: 1,41, 1,04, 0,98
 14:44:47 up  1:11,  1 user,  load average: 1,41, 1,04, 0,98
 14:44:48 up  1:11,  1 user,  load average: 1,45, 1,06, 0,99
 14:44:49 up  1:11,  1 user,  load average: 1,45, 1,06, 0,99
 14:44:50 up  1:11,  1 user,  load average: 1,45, 1,06, 0,99
 14:44:51 up  1:11,  1 user,  load average: 1,45, 1,06, 0,99
 14:44:52 up  1:11,  1 user,  load average: 1,45, 1,06, 0,99
 14:44:53 up  1:11,  1 user,  load average: 1,42, 1,06, 0,99
 14:44:54 up  1:11,  1 user,  load average: 1,42, 1,06, 0,99
 14:44:55 up  1:11,  1 user,  load average: 1,42, 1,06, 0,99
 14:44:56 up  1:11,  1 user,  load average: 1,42, 1,06, 0,99
 14:44:57 up  1:11,  1 user,  load average: 1,42, 1,06, 0,99
 14:44:58 up  1:11,  1 user,  load average: 1,46, 1,07, 0,99
 14:44:59 up  1:11,  1 user,  load average: 1,46, 1,07, 0,99
 14:45:00 up  1:11,  1 user,  load average: 1,46, 1,07, 0,99
 14:45:01 up  1:11,  1 user,  load average: 1,46, 1,07, 0,99
 14:45:02 up  1:11,  1 user,  load average: 1,46, 1,07, 0,99
 14:45:03 up  1:11,  1 user,  load average: 1,67, 1,12, 1,01
 14:45:04 up  1:11,  1 user,  load average: 1,67, 1,12, 1,01
 14:45:05 up  1:11,  1 user,  load average: 1,67, 1,12, 1,01
 14:45:06 up  1:11,  1 user,  load average: 1,67, 1,12, 1,01
 14:45:07 up  1:11,  1 user,  load average: 1,67, 1,12, 1,01
 14:45:08 up  1:11,  1 user,  load average: 1,69, 1,13, 1,01
 14:45:09 up  1:11,  1 user,  load average: 1,69, 1,13, 1,01
 14:45:10 up  1:11,  1 user,  load average: 1,69, 1,13, 1,01
 14:45:11 up  1:11,  1 user,  load average: 1,69, 1,13, 1,01
 14:45:12 up  1:11,  1 user,  load average: 1,69, 1,13, 1,01
 14:45:13 up  1:11,  1 user,  load average: 1,72, 1,15, 1,02
 14:45:14 up  1:11,  1 user,  load average: 1,72, 1,15, 1,02
 14:45:15 up  1:11,  1 user,  load average: 1,72, 1,15, 1,02
 14:45:16 up  1:11,  1 user,  load average: 1,72, 1,15, 1,02
 14:45:17 up  1:11,  1 user,  load average: 1,72, 1,15, 1,02
 14:45:18 up  1:11,  1 user,  load average: 1,74, 1,16, 1,02
 14:45:19 up  1:11,  1 user,  load average: 1,74, 1,16, 1,02
 14:45:20 up  1:11,  1 user,  load average: 1,74, 1,16, 1,02
 14:45:21 up  1:11,  1 user,  load average: 1,74, 1,16, 1,02
 14:45:22 up  1:12,  1 user,  load average: 1,74, 1,16, 1,02
 14:45:23 up  1:12,  1 user,  load average: 1,68, 1,16, 1,02
 14:45:24 up  1:12,  1 user,  load average: 1,68, 1,16, 1,02
 14:45:25 up  1:12,  1 user,  load average: 1,68, 1,16, 1,02
 14:45:26 up  1:12,  1 user,  load average: 1,68, 1,16, 1,02
 14:45:27 up  1:12,  1 user,  load average: 1,68, 1,16, 1,02
 14:45:28 up  1:12,  1 user,  load average: 1,55, 1,14, 1,02
 14:45:29 up  1:12,  1 user,  load average: 1,55, 1,14, 1,02
 14:45:30 up  1:12,  1 user,  load average: 1,55, 1,14, 1,02
 14:45:31 up  1:12,  1 user,  load average: 1,55, 1,14, 1,02
 14:45:32 up  1:12,  1 user,  load average: 1,55, 1,14, 1,02
 14:45:33 up  1:12,  1 user,  load average: 1,58, 1,16, 1,02
 14:45:34 up  1:12,  1 user,  load average: 1,58, 1,16, 1,02
 14:45:35 up  1:12,  1 user,  load average: 1,58, 1,16, 1,02
 14:45:36 up  1:12,  1 user,  load average: 1,58, 1,16, 1,02
 14:45:37 up  1:12,  1 user,  load average: 1,58, 1,16, 1,02
 14:45:38 up  1:12,  1 user,  load average: 1,62, 1,17, 1,03
 14:45:39 up  1:12,  1 user,  load average: 1,62, 1,17, 1,03
 14:45:40 up  1:12,  1 user,  load average: 1,62, 1,17, 1,03
 14:45:41 up  1:12,  1 user,  load average: 1,62, 1,17, 1,03
 14:45:42 up  1:12,  1 user,  load average: 1,62, 1,17, 1,03
 14:45:43 up  1:12,  1 user,  load average: 1,65, 1,18, 1,03
 14:45:44 up  1:12,  1 user,  load average: 1,65, 1,18, 1,03
 14:45:45 up  1:12,  1 user,  load average: 1,65, 1,18, 1,03
 14:45:46 up  1:12,  1 user,  load average: 1,65, 1,18, 1,03
 14:45:47 up  1:12,  1 user,  load average: 1,68, 1,20, 1,04
 14:45:48 up  1:12,  1 user,  load average: 1,68, 1,20, 1,04
 14:45:49 up  1:12,  1 user,  load average: 1,68, 1,20, 1,04
 14:45:50 up  1:12,  1 user,  load average: 1,68, 1,20, 1,04
 14:45:51 up  1:12,  1 user,  load average: 1,68, 1,20, 1,04
 14:45:52 up  1:12,  1 user,  load average: 1,70, 1,21, 1,04
 14:45:53 up  1:12,  1 user,  load average: 1,70, 1,21, 1,04
 14:45:54 up  1:12,  1 user,  load average: 1,70, 1,21, 1,04
 14:45:55 up  1:12,  1 user,  load average: 1,70, 1,21, 1,04
 14:45:56 up  1:12,  1 user,  load average: 1,70, 1,21, 1,04
 14:45:57 up  1:12,  1 user,  load average: 1,65, 1,21, 1,04
 14:45:58 up  1:12,  1 user,  load average: 1,65, 1,21, 1,04
 14:45:59 up  1:12,  1 user,  load average: 1,65, 1,21, 1,04
 14:46:00 up  1:12,  1 user,  load average: 1,65, 1,21, 1,04
 14:46:01 up  1:12,  1 user,  load average: 1,65, 1,21, 1,04
 14:46:03 up  1:12,  1 user,  load average: 1,59, 1,20, 1,04
 14:46:04 up  1:12,  1 user,  load average: 1,59, 1,20, 1,04
 14:46:05 up  1:12,  1 user,  load average: 1,59, 1,20, 1,04
 14:46:06 up  1:12,  1 user,  load average: 1,59, 1,20, 1,04
 14:46:07 up  1:12,  1 user,  load average: 1,59, 1,20, 1,04
 14:46:08 up  1:12,  1 user,  load average: 1,63, 1,22, 1,05
 14:46:09 up  1:12,  1 user,  load average: 1,63, 1,22, 1,05
 14:46:10 up  1:12,  1 user,  load average: 1,63, 1,22, 1,05
 14:46:11 up  1:12,  1 user,  load average: 1,63, 1,22, 1,05
 14:46:12 up  1:12,  1 user,  load average: 1,63, 1,22, 1,05
 14:46:13 up  1:12,  1 user,  load average: 1,66, 1,23, 1,05
 14:46:14 up  1:12,  1 user,  load average: 1,66, 1,23, 1,05
 14:46:15 up  1:12,  1 user,  load average: 1,66, 1,23, 1,05
 14:46:16 up  1:12,  1 user,  load average: 1,66, 1,23, 1,05
 14:46:17 up  1:12,  1 user,  load average: 1,66, 1,23, 1,05
 14:46:18 up  1:12,  1 user,  load average: 1,60, 1,23, 1,05
 14:46:19 up  1:12,  1 user,  load average: 1,60, 1,23, 1,05
 14:46:20 up  1:12,  1 user,  load average: 1,60, 1,23, 1,05
 14:46:21 up  1:12,  1 user,  load average: 1,60, 1,23, 1,05
 14:46:22 up  1:13,  1 user,  load average: 1,60, 1,23, 1,05
 14:46:23 up  1:13,  1 user,  load average: 1,56, 1,22, 1,05
 14:46:24 up  1:13,  1 user,  load average: 1,56, 1,22, 1,05
 14:46:25 up  1:13,  1 user,  load average: 1,56, 1,22, 1,05
 14:46:26 up  1:13,  1 user,  load average: 1,56, 1,22, 1,05
 14:46:27 up  1:13,  1 user,  load average: 1,56, 1,22, 1,05
 14:46:28 up  1:13,  1 user,  load average: 1,51, 1,22, 1,05
 14:46:29 up  1:13,  1 user,  load average: 1,51, 1,22, 1,05
 14:46:30 up  1:13,  1 user,  load average: 1,51, 1,22, 1,05
 14:46:31 up  1:13,  1 user,  load average: 1,51, 1,22, 1,05
 14:46:32 up  1:13,  1 user,  load average: 1,51, 1,22, 1,05
 14:46:33 up  1:13,  1 user,  load average: 1,47, 1,21, 1,05
 14:46:34 up  1:13,  1 user,  load average: 1,47, 1,21, 1,05
 14:46:35 up  1:13,  1 user,  load average: 1,47, 1,21, 1,05
 14:46:36 up  1:13,  1 user,  load average: 1,47, 1,21, 1,05
 14:46:37 up  1:13,  1 user,  load average: 1,47, 1,21, 1,05
 14:46:38 up  1:13,  1 user,  load average: 1,43, 1,21, 1,05
 14:46:39 up  1:13,  1 user,  load average: 1,43, 1,21, 1,05
 14:46:40 up  1:13,  1 user,  load average: 1,43, 1,21, 1,05
 14:46:41 up  1:13,  1 user,  load average: 1,43, 1,21, 1,05
 14:46:42 up  1:13,  1 user,  load average: 1,43, 1,21, 1,05
 14:46:43 up  1:13,  1 user,  load average: 1,48, 1,22, 1,06
 14:46:44 up  1:13,  1 user,  load average: 1,48, 1,22, 1,06
 14:46:45 up  1:13,  1 user,  load average: 1,48, 1,22, 1,06
 14:46:46 up  1:13,  1 user,  load average: 1,48, 1,22, 1,06
 14:46:47 up  1:13,  1 user,  load average: 1,48, 1,22, 1,06
 14:46:48 up  1:13,  1 user,  load average: 1,76, 1,29, 1,08
 14:46:49 up  1:13,  1 user,  load average: 1,76, 1,29, 1,08
 14:46:50 up  1:13,  1 user,  load average: 1,76, 1,29, 1,08
 14:46:51 up  1:13,  1 user,  load average: 1,76, 1,29, 1,08
 14:46:52 up  1:13,  1 user,  load average: 1,76, 1,29, 1,08
 14:46:53 up  1:13,  1 user,  load average: 1,70, 1,28, 1,08
 14:46:54 up  1:13,  1 user,  load average: 1,70, 1,28, 1,08
 14:46:55 up  1:13,  1 user,  load average: 1,70, 1,28, 1,08
 14:46:56 up  1:13,  1 user,  load average: 1,70, 1,28, 1,08
 14:46:57 up  1:13,  1 user,  load average: 1,70, 1,28, 1,08
 14:46:58 up  1:13,  1 user,  load average: 1,72, 1,29, 1,08
 14:46:59 up  1:13,  1 user,  load average: 1,72, 1,29, 1,08
 14:47:00 up  1:13,  1 user,  load average: 1,72, 1,29, 1,08
 14:47:01 up  1:13,  1 user,  load average: 1,72, 1,29, 1,08
 14:47:02 up  1:13,  1 user,  load average: 1,72, 1,29, 1,08
 14:47:03 up  1:13,  1 user,  load average: 2,23, 1,41, 1,12
 14:47:04 up  1:13,  1 user,  load average: 2,23, 1,41, 1,12
 14:47:05 up  1:13,  1 user,  load average: 2,23, 1,41, 1,12
 14:47:06 up  1:13,  1 user,  load average: 2,23, 1,41, 1,12
 14:47:07 up  1:13,  1 user,  load average: 2,23, 1,41, 1,12
 14:47:08 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:09 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:10 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:11 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:12 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:13 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:14 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:15 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:16 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:17 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:18 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:19 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:20 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:21 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:22 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:23 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:24 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:25 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:26 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:27 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:28 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:29 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:30 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:31 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:32 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:34 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:35 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:36 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:37 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:38 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:39 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:40 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:41 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:42 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:43 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:44 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:45 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:46 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:47 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:48 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
 14:47:49 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
