 14:00:54 up 27 min,  1 user,  load average: 0,27, 0,26, 0,30
 14:00:55 up 27 min,  1 user,  load average: 0,27, 0,26, 0,30
 14:00:57 up 27 min,  1 user,  load average: 0,27, 0,26, 0,30
 14:00:58 up 27 min,  1 user,  load average: 0,25, 0,26, 0,30
 14:00:59 up 27 min,  1 user,  load average: 0,25, 0,26, 0,30
 14:01:00 up 27 min,  1 user,  load average: 0,25, 0,26, 0,30
 14:01:01 up 27 min,  1 user,  load average: 0,25, 0,26, 0,30
 14:01:02 up 27 min,  1 user,  load average: 0,25, 0,26, 0,30
 14:01:03 up 27 min,  1 user,  load average: 0,23, 0,25, 0,29
 14:01:04 up 27 min,  1 user,  load average: 0,23, 0,25, 0,29
 14:01:05 up 27 min,  1 user,  load average: 0,23, 0,25, 0,29
 14:01:06 up 27 min,  1 user,  load average: 0,23, 0,25, 0,29
 14:01:07 up 27 min,  1 user,  load average: 0,23, 0,25, 0,29
 14:01:08 up 27 min,  1 user,  load average: 0,29, 0,27, 0,30
 14:01:09 up 27 min,  1 user,  load average: 0,29, 0,27, 0,30
 14:01:10 up 27 min,  1 user,  load average: 0,29, 0,27, 0,30
 14:01:11 up 27 min,  1 user,  load average: 0,29, 0,27, 0,30
 14:01:12 up 27 min,  1 user,  load average: 0,29, 0,27, 0,30
 14:01:13 up 27 min,  1 user,  load average: 0,43, 0,30, 0,31
 14:01:14 up 27 min,  1 user,  load average: 0,43, 0,30, 0,31
 14:01:15 up 27 min,  1 user,  load average: 0,43, 0,30, 0,31
 14:01:16 up 27 min,  1 user,  load average: 0,43, 0,30, 0,31
 14:01:17 up 27 min,  1 user,  load average: 0,55, 0,32, 0,32
 14:01:18 up 27 min,  1 user,  load average: 0,55, 0,32, 0,32
 14:01:19 up 27 min,  1 user,  load average: 0,55, 0,32, 0,32
 14:01:20 up 27 min,  1 user,  load average: 0,55, 0,32, 0,32
 14:01:21 up 27 min,  1 user,  load average: 0,55, 0,32, 0,32
 14:01:22 up 28 min,  1 user,  load average: 0,59, 0,33, 0,32
 14:01:23 up 28 min,  1 user,  load average: 0,59, 0,33, 0,32
 14:01:24 up 28 min,  1 user,  load average: 0,59, 0,33, 0,32
 14:01:25 up 28 min,  1 user,  load average: 0,59, 0,33, 0,32
 14:01:26 up 28 min,  1 user,  load average: 0,59, 0,33, 0,32
 14:01:27 up 28 min,  1 user,  load average: 0,54, 0,33, 0,32
 14:01:28 up 28 min,  1 user,  load average: 0,54, 0,33, 0,32
 14:01:29 up 28 min,  1 user,  load average: 0,54, 0,33, 0,32
 14:01:30 up 28 min,  1 user,  load average: 0,54, 0,33, 0,32
 14:01:31 up 28 min,  1 user,  load average: 0,54, 0,33, 0,32
 14:01:32 up 28 min,  1 user,  load average: 0,66, 0,36, 0,33
 14:01:33 up 28 min,  1 user,  load average: 0,66, 0,36, 0,33
 14:01:34 up 28 min,  1 user,  load average: 0,66, 0,36, 0,33
 14:01:35 up 28 min,  1 user,  load average: 0,66, 0,36, 0,33
 14:01:36 up 28 min,  1 user,  load average: 0,66, 0,36, 0,33
 14:01:37 up 28 min,  1 user,  load average: 0,61, 0,35, 0,33
 14:01:38 up 28 min,  1 user,  load average: 0,61, 0,35, 0,33
 14:01:39 up 28 min,  1 user,  load average: 0,61, 0,35, 0,33
 14:01:40 up 28 min,  1 user,  load average: 0,61, 0,35, 0,33
 14:01:41 up 28 min,  1 user,  load average: 0,61, 0,35, 0,33
 14:01:42 up 28 min,  1 user,  load average: 0,64, 0,36, 0,33
 14:01:44 up 28 min,  1 user,  load average: 0,64, 0,36, 0,33
 14:01:45 up 28 min,  1 user,  load average: 0,64, 0,36, 0,33
 14:01:46 up 28 min,  1 user,  load average: 0,64, 0,36, 0,33
 14:01:47 up 28 min,  1 user,  load average: 0,64, 0,36, 0,33
 14:01:48 up 28 min,  1 user,  load average: 0,59, 0,36, 0,33
 14:01:49 up 28 min,  1 user,  load average: 0,59, 0,36, 0,33
 14:01:50 up 28 min,  1 user,  load average: 0,59, 0,36, 0,33
 14:01:51 up 28 min,  1 user,  load average: 0,59, 0,36, 0,33
 14:01:52 up 28 min,  1 user,  load average: 0,59, 0,36, 0,33
 14:01:53 up 28 min,  1 user,  load average: 0,70, 0,38, 0,34
 14:01:54 up 28 min,  1 user,  load average: 0,70, 0,38, 0,34
 14:01:55 up 28 min,  1 user,  load average: 0,70, 0,38, 0,34
 14:01:56 up 28 min,  1 user,  load average: 0,70, 0,38, 0,34
 14:01:57 up 28 min,  1 user,  load average: 0,70, 0,38, 0,34
 14:01:58 up 28 min,  1 user,  load average: 0,80, 0,41, 0,35
 14:01:59 up 28 min,  1 user,  load average: 0,80, 0,41, 0,35
 14:02:00 up 28 min,  1 user,  load average: 0,80, 0,41, 0,35
 14:02:01 up 28 min,  1 user,  load average: 0,80, 0,41, 0,35
 14:02:02 up 28 min,  1 user,  load average: 0,90, 0,44, 0,36
 14:02:03 up 28 min,  1 user,  load average: 0,90, 0,44, 0,36
 14:02:04 up 28 min,  1 user,  load average: 0,90, 0,44, 0,36
 14:02:05 up 28 min,  1 user,  load average: 0,90, 0,44, 0,36
 14:02:06 up 28 min,  1 user,  load average: 0,90, 0,44, 0,36
 14:02:07 up 28 min,  1 user,  load average: 0,99, 0,46, 0,37
 14:02:08 up 28 min,  1 user,  load average: 0,99, 0,46, 0,37
 14:02:09 up 28 min,  1 user,  load average: 0,99, 0,46, 0,37
 14:02:10 up 28 min,  1 user,  load average: 0,99, 0,46, 0,37
 14:02:11 up 28 min,  1 user,  load average: 0,99, 0,46, 0,37
 14:02:12 up 28 min,  1 user,  load average: 0,99, 0,47, 0,37
 14:02:13 up 28 min,  1 user,  load average: 0,99, 0,47, 0,37
 14:02:14 up 28 min,  1 user,  load average: 0,99, 0,47, 0,37
 14:02:15 up 28 min,  1 user,  load average: 0,99, 0,47, 0,37
 14:02:16 up 28 min,  1 user,  load average: 0,99, 0,47, 0,37
 14:02:17 up 28 min,  1 user,  load average: 0,91, 0,46, 0,37
 14:02:18 up 28 min,  1 user,  load average: 0,91, 0,46, 0,37
 14:02:19 up 28 min,  1 user,  load average: 0,91, 0,46, 0,37
 14:02:20 up 28 min,  1 user,  load average: 0,91, 0,46, 0,37
 14:02:21 up 28 min,  1 user,  load average: 0,91, 0,46, 0,37
 14:02:22 up 29 min,  1 user,  load average: 0,92, 0,47, 0,37
 14:02:23 up 29 min,  1 user,  load average: 0,92, 0,47, 0,37
 14:02:24 up 29 min,  1 user,  load average: 0,92, 0,47, 0,37
 14:02:25 up 29 min,  1 user,  load average: 0,92, 0,47, 0,37
 14:02:26 up 29 min,  1 user,  load average: 0,92, 0,47, 0,37
