 14:10:23 up 37 min,  1 user,  load average: 0,44, 0,91, 0,69
 14:10:24 up 37 min,  1 user,  load average: 0,44, 0,91, 0,69
 14:10:25 up 37 min,  1 user,  load average: 0,44, 0,91, 0,69
 14:10:26 up 37 min,  1 user,  load average: 0,44, 0,91, 0,69
 14:10:27 up 37 min,  1 user,  load average: 0,44, 0,91, 0,69
 14:10:28 up 37 min,  1 user,  load average: 0,56, 0,92, 0,69
 14:10:29 up 37 min,  1 user,  load average: 0,56, 0,92, 0,69
 14:10:30 up 37 min,  1 user,  load average: 0,56, 0,92, 0,69
 14:10:31 up 37 min,  1 user,  load average: 0,56, 0,92, 0,69
 14:10:32 up 37 min,  1 user,  load average: 0,56, 0,92, 0,69
 14:10:33 up 37 min,  1 user,  load average: 0,52, 0,91, 0,69
 14:10:34 up 37 min,  1 user,  load average: 0,52, 0,91, 0,69
 14:10:35 up 37 min,  1 user,  load average: 0,52, 0,91, 0,69
 14:10:36 up 37 min,  1 user,  load average: 0,52, 0,91, 0,69
 14:10:37 up 37 min,  1 user,  load average: 0,52, 0,91, 0,69
 14:10:38 up 37 min,  1 user,  load average: 0,56, 0,91, 0,69
 14:10:39 up 37 min,  1 user,  load average: 0,56, 0,91, 0,69
 14:10:40 up 37 min,  1 user,  load average: 0,56, 0,91, 0,69
 14:10:41 up 37 min,  1 user,  load average: 0,56, 0,91, 0,69
 14:10:42 up 37 min,  1 user,  load average: 0,56, 0,91, 0,69
 14:10:43 up 37 min,  1 user,  load average: 0,67, 0,93, 0,70
 14:10:44 up 37 min,  1 user,  load average: 0,67, 0,93, 0,70
 14:10:45 up 37 min,  1 user,  load average: 0,67, 0,93, 0,70
 14:10:46 up 37 min,  1 user,  load average: 0,67, 0,93, 0,70
 14:10:47 up 37 min,  1 user,  load average: 0,70, 0,93, 0,70
 14:10:48 up 37 min,  1 user,  load average: 0,70, 0,93, 0,70
 14:10:49 up 37 min,  1 user,  load average: 0,70, 0,93, 0,70
 14:10:50 up 37 min,  1 user,  load average: 0,70, 0,93, 0,70
 14:10:51 up 37 min,  1 user,  load average: 0,70, 0,93, 0,70
 14:10:52 up 37 min,  1 user,  load average: 0,72, 0,93, 0,70
 14:10:53 up 37 min,  1 user,  load average: 0,72, 0,93, 0,70
 14:10:54 up 37 min,  1 user,  load average: 0,72, 0,93, 0,70
 14:10:55 up 37 min,  1 user,  load average: 0,72, 0,93, 0,70
 14:10:56 up 37 min,  1 user,  load average: 0,72, 0,93, 0,70
 14:10:57 up 37 min,  1 user,  load average: 0,75, 0,93, 0,71
 14:10:58 up 37 min,  1 user,  load average: 0,75, 0,93, 0,71
 14:10:59 up 37 min,  1 user,  load average: 0,75, 0,93, 0,71
 14:11:00 up 37 min,  1 user,  load average: 0,75, 0,93, 0,71
 14:11:01 up 37 min,  1 user,  load average: 0,75, 0,93, 0,71
 14:11:02 up 37 min,  1 user,  load average: 0,69, 0,92, 0,70
 14:11:03 up 37 min,  1 user,  load average: 0,69, 0,92, 0,70
 14:11:04 up 37 min,  1 user,  load average: 0,69, 0,92, 0,70
