 14:19:02 up 45 min,  1 user,  load average: 0,13, 0,51, 0,61
 14:19:03 up 45 min,  1 user,  load average: 0,13, 0,51, 0,61
 14:19:04 up 45 min,  1 user,  load average: 0,13, 0,51, 0,61
 14:19:05 up 45 min,  1 user,  load average: 0,13, 0,51, 0,61
 14:19:06 up 45 min,  1 user,  load average: 0,13, 0,51, 0,61
 14:19:07 up 45 min,  1 user,  load average: 0,12, 0,50, 0,61
 14:19:08 up 45 min,  1 user,  load average: 0,12, 0,50, 0,61
 14:19:09 up 45 min,  1 user,  load average: 0,12, 0,50, 0,61
 14:19:10 up 45 min,  1 user,  load average: 0,12, 0,50, 0,61
 14:19:11 up 45 min,  1 user,  load average: 0,12, 0,50, 0,61
 14:19:12 up 45 min,  1 user,  load average: 0,35, 0,54, 0,62
 14:19:13 up 45 min,  1 user,  load average: 0,35, 0,54, 0,62
 14:19:14 up 45 min,  1 user,  load average: 0,35, 0,54, 0,62
 14:19:15 up 45 min,  1 user,  load average: 0,35, 0,54, 0,62
 14:19:16 up 45 min,  1 user,  load average: 0,35, 0,54, 0,62
 14:19:17 up 45 min,  1 user,  load average: 0,48, 0,57, 0,63
 14:19:18 up 45 min,  1 user,  load average: 0,48, 0,57, 0,63
 14:19:19 up 45 min,  1 user,  load average: 0,48, 0,57, 0,63
 14:19:20 up 45 min,  1 user,  load average: 0,48, 0,57, 0,63
 14:19:21 up 45 min,  1 user,  load average: 0,48, 0,57, 0,63
 14:19:22 up 46 min,  1 user,  load average: 0,52, 0,57, 0,63
 14:19:23 up 46 min,  1 user,  load average: 0,52, 0,57, 0,63
 14:19:24 up 46 min,  1 user,  load average: 0,52, 0,57, 0,63
 14:19:25 up 46 min,  1 user,  load average: 0,52, 0,57, 0,63
 14:19:26 up 46 min,  1 user,  load average: 0,52, 0,57, 0,63
 14:19:27 up 46 min,  1 user,  load average: 0,56, 0,58, 0,63
 14:19:28 up 46 min,  1 user,  load average: 0,56, 0,58, 0,63
 14:19:29 up 46 min,  1 user,  load average: 0,56, 0,58, 0,63
 14:19:30 up 46 min,  1 user,  load average: 0,56, 0,58, 0,63
 14:19:31 up 46 min,  1 user,  load average: 0,56, 0,58, 0,63
 14:19:33 up 46 min,  1 user,  load average: 0,60, 0,59, 0,64
 14:19:34 up 46 min,  1 user,  load average: 0,60, 0,59, 0,64
 14:19:35 up 46 min,  1 user,  load average: 0,60, 0,59, 0,64
 14:19:36 up 46 min,  1 user,  load average: 0,60, 0,59, 0,64
 14:19:37 up 46 min,  1 user,  load average: 0,60, 0,59, 0,64
 14:19:38 up 46 min,  1 user,  load average: 0,71, 0,61, 0,64
 14:19:39 up 46 min,  1 user,  load average: 0,71, 0,61, 0,64
 14:19:40 up 46 min,  1 user,  load average: 0,71, 0,61, 0,64
 14:19:41 up 46 min,  1 user,  load average: 0,71, 0,61, 0,64
 14:19:42 up 46 min,  1 user,  load average: 0,71, 0,61, 0,64
 14:19:43 up 46 min,  1 user,  load average: 0,81, 0,64, 0,65
 14:19:44 up 46 min,  1 user,  load average: 0,81, 0,64, 0,65
 14:19:45 up 46 min,  1 user,  load average: 0,81, 0,64, 0,65
 14:19:46 up 46 min,  1 user,  load average: 0,81, 0,64, 0,65
 14:19:47 up 46 min,  1 user,  load average: 0,81, 0,64, 0,65
 14:19:48 up 46 min,  1 user,  load average: 0,91, 0,66, 0,66
 14:19:49 up 46 min,  1 user,  load average: 0,91, 0,66, 0,66
 14:19:50 up 46 min,  1 user,  load average: 0,91, 0,66, 0,66
 14:19:51 up 46 min,  1 user,  load average: 0,91, 0,66, 0,66
 14:19:52 up 46 min,  1 user,  load average: 0,91, 0,66, 0,66
 14:19:53 up 46 min,  1 user,  load average: 1,00, 0,68, 0,67
 14:19:54 up 46 min,  1 user,  load average: 1,00, 0,68, 0,67
 14:19:55 up 46 min,  1 user,  load average: 1,00, 0,68, 0,67
 14:19:56 up 46 min,  1 user,  load average: 1,00, 0,68, 0,67
 14:19:57 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:19:58 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:19:59 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:00 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:01 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:02 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:03 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:04 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:05 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:06 up 46 min,  1 user,  load average: 1,00, 0,69, 0,67
 14:20:07 up 46 min,  1 user,  load average: 0,92, 0,68, 0,67
 14:20:08 up 46 min,  1 user,  load average: 0,92, 0,68, 0,67
 14:20:09 up 46 min,  1 user,  load average: 0,92, 0,68, 0,67
 14:20:10 up 46 min,  1 user,  load average: 0,92, 0,68, 0,67
 14:20:11 up 46 min,  1 user,  load average: 0,92, 0,68, 0,67
